,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
60,Georgia,All firms,159271,13941,21752,15686,35044,63649,9199
61,Georgia,"All firms classifiable by gender, ethnicity, race, and veteran status",149340,13641,21231,15065,33940,60123,5340
62,Georgia,Equally veteran-/nonveteran-owned,4681,456,766,357,1099,1874,128
63,Georgia,Nonveteran-owned,129692,12158,19007,13536,30017,50397,4576
64,Georgia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",9931,300,521,621,1104,3526,3859
65,Georgia,Veteran-owned,14967,1027,1458,1171,2824,7851,635
