,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
294,Wisconsin,All firms,103497,6985,10190,7939,19766,52072,6546
295,Wisconsin,"All firms classifiable by gender, ethnicity, race, and veteran status",95638,6805,9876,7615,19114,48358,3871
296,Wisconsin,Equally male-/female-owned,18846,1079,1712,1481,3549,10587,439
297,Wisconsin,Female-owned,16839,1558,2226,1619,4060,6945,432
298,Wisconsin,Male-owned,59953,4168,5938,4516,11504,30827,3000
299,Wisconsin,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",7859,180,314,324,652,3713,2675
