,GEO.display-label,VET_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
144,Mississippi,All firms,40444,100.0,100.0,100.0,100.0,100.0,100.0
145,Mississippi,"All firms classifiable by gender, ethnicity, race, and veteran status",36714,98.078242965,98.5844947735,95.7679786919,94.8951686418,91.6123471422,54.2822677925
146,Mississippi,Equally veteran-/nonveteran-owned,1095,0.583390528483,4.22473867596,1.03580941107,2.90402396145,3.07062436029,1.68878166466
147,Mississippi,Nonveteran-owned,32148,93.1708991078,85.9102787456,86.5936667653,83.760906368,78.3978882724,47.5874547648
148,Mississippi,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3730,1.921757035,1.43728222997,4.23202130808,5.10483135825,8.38765285784,45.7177322075
149,Mississippi,Veteran-owned,3471,4.35827041867,8.44947735192,8.16809707014,8.23023831228,10.1438345095,5.00603136309
