,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
84,Indiana,All firms,100200,7586,10835,8242,18862,47446,7229
85,Indiana,"All firms classifiable by gender, ethnicity, race, and veteran status",92052,7417,10442,7929,18114,43892,4258
86,Indiana,Equally veteran-/nonveteran-owned,3316,236,67,172,525,2155,161
87,Indiana,Nonveteran-owned,80937,6480,9590,7214,16550,37351,3752
88,Indiana,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",8148,169,393,313,748,3553,2971
89,Indiana,Veteran-owned,7800,701,785,543,1039,4386,346
