,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
102,Kentucky,All firms,63771,5411,7329,5085,11682,29454,4809
103,Kentucky,"All firms classifiable by gender, ethnicity, race, and veteran status",58541,5259,7185,4952,11181,27508,2456
104,Kentucky,Equally veteran-/nonveteran-owned,2445,78,108,149,586,1404,120
105,Kentucky,Nonveteran-owned,50942,4934,6726,4389,9634,23127,2132
106,Kentucky,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5230,152,144,134,501,1946,2353
107,Kentucky,Veteran-owned,5154,247,350,414,961,2977,205
