,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
84,Indiana,All firms,100200,7586,10835,8242,18862,47446,7229
85,Indiana,"All firms classifiable by gender, ethnicity, race, and veteran status",92052,7417,10442,7929,18114,43892,4258
86,Indiana,Equally male-/female-owned,14851,1061,1469,1272,3324,7327,398
87,Indiana,Female-owned,16726,1499,2419,1934,3631,6686,557
88,Indiana,Male-owned,60475,4857,6554,4723,11159,29879,3304
89,Indiana,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",8148,169,393,313,748,3553,2971
