,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
156,Montana,All firms,30458,2392,3494,2552,6848,13431,1740
157,Montana,"All firms classifiable by gender, ethnicity, race, and veteran status",27847,2320,3314,2494,6600,12272,846
158,Montana,Equally male-/female-owned,6796,417,657,668,1433,3510,111
159,Montana,Female-owned,5524,607,846,506,1294,2079,193
160,Montana,Male-owned,15527,1296,1812,1319,3874,6684,542
161,Montana,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2611,72,180,59,248,1158,894
