,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
54,Florida,All firms,394946,41958,61848,42693,89633,144220,14593
55,Florida,"All firms classifiable by gender, ethnicity, race, and veteran status",378549,40852,60829,41634,87317,137684,10234
56,Florida,Equally veteran-/nonveteran-owned,12100,889,1204,1273,2997,5370,367
57,Florida,Nonveteran-owned,335485,37200,55869,37437,77977,118298,8703
58,Florida,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",16397,1106,1019,1059,2317,6537,4359
59,Florida,Veteran-owned,30964,2762,3756,2925,6342,14016,1164
