,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
24,California,All firms,681808,65727,96961,68050,152063,276246,22762
25,California,"All firms classifiable by gender, ethnicity, race, and veteran status",646823,64557,94827,65956,146916,259155,15412
26,California,Equally male-/female-owned,104974,9494,15331,8690,26187,43103,2170
27,California,Female-owned,135667,15506,22853,16698,30811,47440,2359
28,California,Male-owned,406182,39557,56643,40568,89918,168613,10883
29,California,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",34985,1170,2134,2094,5147,17091,7350
