,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
168,Nevada,All firms,45804,5271,7233,5173,10648,14064,3415
169,Nevada,"All firms classifiable by gender, ethnicity, race, and veteran status",41704,5033,6958,4937,10210,12898,1670
170,Nevada,Equally veteran-/nonveteran-owned,1380,195,259,86,378,420,42
171,Nevada,Nonveteran-owned,37104,4410,6245,4518,9160,11336,1435
172,Nevada,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",4100,238,275,237,438,1167,1745
173,Nevada,Veteran-owned,3220,427,453,332,672,1142,194
