,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
12,Arizona,All firms,97312,9261,13486,10479,21858,36427,5801
13,Arizona,"All firms classifiable by gender, ethnicity, race, and veteran status",90591,9066,13125,10092,20975,34291,3043
14,Arizona,Equally veteran-/nonveteran-owned,3498,316,367,170,514,1980,150
15,Arizona,Nonveteran-owned,81058,8146,11867,9419,19245,29754,2627
16,Arizona,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",6720,195,361,388,883,2136,2758
17,Arizona,Veteran-owned,6036,603,891,503,1215,2557,267
