,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
210,Ohio,All firms,172674,12066,18337,12721,31366,87009,11174
211,Ohio,"All firms classifiable by gender, ethnicity, race, and veteran status",159493,11746,17744,12168,30151,80746,6938
212,Ohio,Equally male-/female-owned,17862,1302,1904,1192,3350,9569,545
213,Ohio,Female-owned,31231,2537,3727,3016,6590,14338,1023
214,Ohio,Male-owned,110401,7907,12113,7960,20212,56839,5370
215,Ohio,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",13181,320,593,553,1215,6263,4236
