,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
72,Idaho,All firms,35100,2690,4469,3009,8466,14226,2240
73,Idaho,"All firms classifiable by gender, ethnicity, race, and veteran status",32614,2604,4420,2935,8160,13399,1096
74,Idaho,Equally male-/female-owned,9437,844,1154,789,2357,4101,193
75,Idaho,Female-owned,5053,409,984,422,1433,1692,113
76,Idaho,Male-owned,18124,1352,2282,1724,4371,7606,790
77,Idaho,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2486,86,49,74,306,828,1144
