,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
150,Missouri,All firms,108075,10956,14346,9139,20127,46751,6756
151,Missouri,"All firms classifiable by gender, ethnicity, race, and veteran status",100397,10720,13912,8872,19420,43422,4050
152,Missouri,Equally veteran-/nonveteran-owned,4538,225,529,317,839,2454,174
153,Missouri,Nonveteran-owned,87399,9948,12634,7870,17415,36078,3454
154,Missouri,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",7678,236,433,267,707,3329,2706
155,Missouri,Veteran-owned,8459,547,750,685,1166,4889,422
