,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
204,North Dakota,All firms,20702,1710,3160,1552,3656,8973,1651
205,North Dakota,"All firms classifiable by gender, ethnicity, race, and veteran status",18663,1641,3089,1478,3536,8072,846
206,North Dakota,Equally male-/female-owned,3786,254,774,330,619,1661,148
207,North Dakota,Female-owned,2860,235,492,251,691,1112,77
208,North Dakota,Male-owned,12017,1152,1823,898,2226,5299,621
209,North Dakota,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2039,69,71,74,120,901,805
