,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
78,Illinois,All firms,241031,18907,28930,20698,48421,110956,13118
79,Illinois,"All firms classifiable by gender, ethnicity, race, and veteran status",225194,18540,28163,19984,46924,103529,8054
80,Illinois,Equally male-/female-owned,28501,2482,2965,2244,6227,13825,758
81,Illinois,Female-owned,44402,3664,6399,4757,10544,17694,1344
82,Illinois,Male-owned,152291,12394,18799,12983,30153,72010,5952
83,Illinois,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",15837,367,767,714,1497,7427,5064
