,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
288,West Virginia,All firms,25193,1527,2190,2037,4392,12609,2437
289,West Virginia,"All firms classifiable by gender, ethnicity, race, and veteran status",22385,1470,2119,1960,4133,11367,1336
290,West Virginia,Equally male-/female-owned,3219,222,323,322,690,1575,87
291,West Virginia,Female-owned,4469,328,520,547,850,2062,161
292,West Virginia,Male-owned,14698,920,1277,1090,2593,7730,1088
293,West Virginia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2808,57,71,78,259,1242,1101
