,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
120,Maryland,All firms,100593,7068,12335,8554,19417,46795,6424
121,Maryland,"All firms classifiable by gender, ethnicity, race, and veteran status",93285,6913,12043,8287,18764,43830,3449
122,Maryland,Equally veteran-/nonveteran-owned,2297,104,247,187,309,1393,56
123,Maryland,Nonveteran-owned,83107,6425,10992,7632,17360,37875,2823
124,Maryland,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",7308,155,291,268,654,2965,2975
125,Maryland,Veteran-owned,7882,385,804,467,1094,4561,570
