,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
240,South Carolina,All firms,72059,5716,9139,6437,14970,30495,5303
241,South Carolina,"All firms classifiable by gender, ethnicity, race, and veteran status",66852,5599,8783,6213,14447,28832,2977
242,South Carolina,Equally male-/female-owned,8295,749,1318,814,1900,3309,205
243,South Carolina,Female-owned,13122,1205,1960,1667,3157,4916,217
244,South Carolina,Male-owned,45435,3645,5506,3732,9391,20607,2555
245,South Carolina,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5207,116,356,224,523,1663,2326
