,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
180,New Jersey,All firms,183712,15370,23611,17071,35144,84207,8310
181,New Jersey,"All firms classifiable by gender, ethnicity, race, and veteran status",173142,15161,23173,16618,33746,79604,4838
182,New Jersey,Equally male-/female-owned,17757,1546,1926,1742,3423,8680,441
183,New Jersey,Female-owned,33935,3773,5587,4224,6483,13206,663
184,New Jersey,Male-owned,121450,9843,15660,10653,23840,57718,3735
185,New Jersey,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",10571,208,438,453,1398,4603,3472
