,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
90,Iowa,All firms,60205,3540,6183,4868,11601,29515,4497
91,Iowa,"All firms classifiable by gender, ethnicity, race, and veteran status",54789,3463,6030,4714,11108,26989,2485
92,Iowa,Equally veteran-/nonveteran-owned,2325,65,174,162,508,1301,115
93,Iowa,Nonveteran-owned,48329,3243,5565,4320,9715,23406,2080
94,Iowa,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5416,77,153,155,493,2526,2012
95,Iowa,Veteran-owned,4135,155,291,232,885,2283,290
