,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
210,Ohio,All firms,172674,12066,18337,12721,31366,87009,11174
211,Ohio,"All firms classifiable by gender, ethnicity, race, and veteran status",159493,11746,17744,12168,30151,80746,6938
212,Ohio,Equally veteran-/nonveteran-owned,4738,226,359,336,992,2600,225
213,Ohio,Nonveteran-owned,140572,10734,15843,11140,27009,69744,6102
214,Ohio,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",13181,320,593,553,1215,6263,4236
215,Ohio,Veteran-owned,14183,786,1543,692,2150,8402,611
