,GEO.display-label,SEX.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
186,New Mexico,All firms,32755,100.0,100.0,100.0,100.0,100.0,100.0
187,New Mexico,"All firms classifiable by gender, ethnicity, race, and veteran status",29480,98.4429065744,96.5308102863,94.2335766423,95.348115987,91.6763958519,44.5178849145
188,New Mexico,Equally male-/female-owned,5746,22.3615916955,17.56428918,18.0656934307,15.1961544425,20.3763477783,2.44945567652
189,New Mexico,Female-owned,6248,20.6314878893,20.4754973314,20.7664233577,30.0201581641,15.4178971225,6.84292379471
190,New Mexico,Male-owned,17486,55.4498269896,58.4667637069,55.401459854,50.1318033804,55.8821509512,35.2255054432
191,New Mexico,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3276,1.55709342561,3.46918971373,5.76642335766,4.63637773298,8.32360414807,55.4821150855
