,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
258,Texas,All firms,387504,39885,57262,39680,81245,152816,16615
259,Texas,"All firms classifiable by gender, ethnicity, race, and veteran status",364527,38392,55420,38383,78364,142959,11010
260,Texas,Equally veteran-/nonveteran-owned,12225,1171,1788,1019,2352,5465,431
261,Texas,Nonveteran-owned,322634,35134,50259,34794,70697,122357,9393
262,Texas,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",22977,1493,1842,1297,2881,9857,5605
263,Texas,Veteran-owned,29668,2087,3373,2571,5315,15137,1186
