,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
216,Oklahoma,All firms,68159,5440,8719,6013,14210,29280,4496
217,Oklahoma,"All firms classifiable by gender, ethnicity, race, and veteran status",63229,5224,8459,5840,13772,27459,2475
218,Oklahoma,Equally male-/female-owned,11620,1161,1363,1341,2767,4817,171
219,Oklahoma,Female-owned,11660,1020,1879,1076,2780,4462,443
220,Oklahoma,Male-owned,39949,3044,5216,3423,8226,18179,1861
221,Oklahoma,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",4930,216,260,173,438,1821,2021
