,GEO.display-label,VET_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
72,Idaho,All firms,35100,100.0,100.0,100.0,100.0,100.0,100.0
73,Idaho,"All firms classifiable by gender, ethnicity, race, and veteran status",32614,96.8029739777,98.9035578429,97.5407111997,96.3855421687,94.1867004077,48.9285714286
74,Idaho,Equally veteran-/nonveteran-owned,1808,2.89962825279,3.75923025285,7.3778664008,4.35861091425,6.10150428792,4.64285714286
75,Idaho,Nonveteran-owned,28625,87.3977695167,90.3781606623,84.7457627119,84.8216394992,81.3018416983,41.8303571429
76,Idaho,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2486,3.1970260223,1.09644215708,2.45928880027,3.61445783133,5.82032897512,51.0714285714
77,Idaho,Veteran-owned,2182,6.50557620818,4.76616692772,5.41708208707,7.21710370895,6.78335442148,2.45535714286
