,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
270,Vermont,All firms,17259,1083,1512,1279,3164,8684,1538
271,Vermont,"All firms classifiable by gender, ethnicity, race, and veteran status",15013,986,1434,1225,2951,7692,726
272,Vermont,Equally male-/female-owned,3034,162,255,224,570,1601,223
273,Vermont,Female-owned,2560,190,304,295,528,1186,57
274,Vermont,Male-owned,9419,634,875,705,1853,4905,447
275,Vermont,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2246,97,78,54,214,992,812
