,GEO.display-label,VET_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
288,West Virginia,All firms,25193,1527,2190,2037,4392,12609,2437
289,West Virginia,"All firms classifiable by gender, ethnicity, race, and veteran status",22385,1470,2119,1960,4133,11367,1336
290,West Virginia,Equally veteran-/nonveteran-owned,913,81,141,2,180,507,1
291,West Virginia,Nonveteran-owned,19383,1277,1823,1789,3584,9701,1210
292,West Virginia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2808,57,71,78,259,1242,1101
293,West Virginia,Veteran-owned,2089,112,155,169,369,1159,125
