,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
120,Maryland,All firms,100593,7068,12335,8554,19417,46795,6424
121,Maryland,"All firms classifiable by gender, ethnicity, race, and veteran status",93285,6913,12043,8287,18764,43830,3449
122,Maryland,Equally male-/female-owned,10967,583,1527,1213,2000,5524,121
123,Maryland,Female-owned,22186,2110,3671,2152,4585,9295,372
124,Maryland,Male-owned,60133,4220,6846,4922,12179,29011,2957
125,Maryland,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",7308,155,291,268,654,2965,2975
