,GEO.display-label,SEX.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
192,New York,All firms,432907,41549,62896,45917,84389,181977,16179
193,New York,"All firms classifiable by gender, ethnicity, race, and veteran status",407744,40553,61635,44239,81491,169165,10661
194,New York,Equally male-/female-owned,37513,3294,5583,3687,7447,16808,693
195,New York,Female-owned,85162,10172,15264,10571,18215,29487,1453
196,New York,Male-owned,285069,27086,40788,29982,55829,122869,8514
197,New York,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",25163,996,1261,1678,2898,12811,5518
