,GEO.display-label,SEX.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
72,Idaho,All firms,35100,100.0,100.0,100.0,100.0,100.0,100.0
73,Idaho,"All firms classifiable by gender, ethnicity, race, and veteran status",32614,96.8029739777,98.9035578429,97.5407111997,96.3855421687,94.1867004077,48.9285714286
74,Idaho,Equally male-/female-owned,9437,31.375464684,25.8223316178,26.221335992,27.8407748642,28.8274989456,8.61607142857
75,Idaho,Female-owned,5053,15.2044609665,22.0183486239,14.024592888,16.926529648,11.8937157318,5.04464285714
76,Idaho,Male-owned,18124,50.2602230483,51.0628776013,57.2947823197,51.6300496102,53.4654857304,35.2678571429
77,Idaho,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2486,3.1970260223,1.09644215708,2.45928880027,3.61445783133,5.82032897512,51.0714285714
